2021-11-11 12:56:26,955 INFO    MainThread:49670 [wandb_setup.py:_flush():69] setting env: {'project': 'exercise_14', 'run_group': 'dev'}
2021-11-11 12:56:26,956 INFO    MainThread:49670 [wandb_setup.py:_flush():69] setting login settings: {}
2021-11-11 12:56:26,956 INFO    MainThread:49670 [wandb_init.py:_log_setup():334] Logging user logs to /Users/tonysmaniotto/src/genre_classification/download/wandb/run-20211111_125626-33eg6me7/logs/debug.log
2021-11-11 12:56:26,956 INFO    MainThread:49670 [wandb_init.py:_log_setup():335] Logging internal logs to /Users/tonysmaniotto/src/genre_classification/download/wandb/run-20211111_125626-33eg6me7/logs/debug-internal.log
2021-11-11 12:56:26,956 INFO    MainThread:49670 [wandb_init.py:init():367] calling init triggers
2021-11-11 12:56:26,956 INFO    MainThread:49670 [wandb_init.py:init():372] wandb.init called with sweep_config: {}
config: {}
2021-11-11 12:56:26,957 INFO    MainThread:49670 [wandb_init.py:init():416] starting backend
2021-11-11 12:56:26,957 INFO    MainThread:49670 [backend.py:_multiprocessing_setup():69] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2021-11-11 12:56:26,986 INFO    MainThread:49670 [backend.py:ensure_launched():123] starting backend process...
2021-11-11 12:56:26,991 INFO    MainThread:49670 [backend.py:ensure_launched():127] started backend process with pid: 49677
2021-11-11 12:56:26,993 INFO    MainThread:49670 [wandb_init.py:init():421] backend started and connected
2021-11-11 12:56:26,995 INFO    MainThread:49670 [wandb_init.py:init():461] updated telemetry
2021-11-11 12:56:26,996 INFO    MainThread:49670 [wandb_init.py:init():480] communicating current version
2021-11-11 12:56:27,648 INFO    MainThread:49670 [wandb_init.py:init():485] got version response upgrade_message: "wandb version 0.12.6 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2021-11-11 12:56:27,648 INFO    MainThread:49670 [wandb_init.py:init():493] communicating run to backend with 30 second timeout
2021-11-11 12:56:27,816 INFO    MainThread:49670 [wandb_init.py:init():518] starting run threads in backend
2021-11-11 12:56:27,852 INFO    MainThread:49670 [wandb_run.py:_console_start():1476] atexit reg
2021-11-11 12:56:27,852 INFO    MainThread:49670 [wandb_run.py:_redirect():1339] redirect: SettingsConsole.REDIRECT
2021-11-11 12:56:27,852 INFO    MainThread:49670 [wandb_run.py:_redirect():1344] Redirecting console.
2021-11-11 12:56:27,853 INFO    MainThread:49670 [redirect.py:install():213] install start
2021-11-11 12:56:27,853 INFO    MainThread:49670 [redirect.py:install():228] install stop
2021-11-11 12:56:27,853 INFO    MainThread:49670 [redirect.py:install():213] install start
2021-11-11 12:56:27,853 INFO    MainThread:49670 [redirect.py:install():228] install stop
2021-11-11 12:56:27,853 INFO    MainThread:49670 [wandb_run.py:_redirect():1390] Redirects installed.
2021-11-11 12:56:27,853 INFO    MainThread:49670 [wandb_init.py:init():542] run started, returning control to user process
2021-11-11 12:56:31,537 INFO    MainThread:49670 [wandb_run.py:finish():1135] finishing run adsmaniotto/exercise_14/33eg6me7
