2021-11-11 16:00:52,741 INFO    MainThread:51918 [wandb_setup.py:_flush():69] setting env: {'project': 'exercise_14', 'run_group': 'dev'}
2021-11-11 16:00:52,742 INFO    MainThread:51918 [wandb_setup.py:_flush():69] setting login settings: {}
2021-11-11 16:00:52,742 INFO    MainThread:51918 [wandb_init.py:_log_setup():334] Logging user logs to /Users/tonysmaniotto/src/genre_classification/download/wandb/run-20211111_160052-2k4yn94o/logs/debug.log
2021-11-11 16:00:52,742 INFO    MainThread:51918 [wandb_init.py:_log_setup():335] Logging internal logs to /Users/tonysmaniotto/src/genre_classification/download/wandb/run-20211111_160052-2k4yn94o/logs/debug-internal.log
2021-11-11 16:00:52,742 INFO    MainThread:51918 [wandb_init.py:init():367] calling init triggers
2021-11-11 16:00:52,742 INFO    MainThread:51918 [wandb_init.py:init():372] wandb.init called with sweep_config: {}
config: {}
2021-11-11 16:00:52,742 INFO    MainThread:51918 [wandb_init.py:init():416] starting backend
2021-11-11 16:00:52,742 INFO    MainThread:51918 [backend.py:_multiprocessing_setup():69] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2021-11-11 16:00:52,763 INFO    MainThread:51918 [backend.py:ensure_launched():123] starting backend process...
2021-11-11 16:00:52,767 INFO    MainThread:51918 [backend.py:ensure_launched():127] started backend process with pid: 51925
2021-11-11 16:00:52,769 INFO    MainThread:51918 [wandb_init.py:init():421] backend started and connected
2021-11-11 16:00:52,770 INFO    MainThread:51918 [wandb_init.py:init():461] updated telemetry
2021-11-11 16:00:52,771 INFO    MainThread:51918 [wandb_init.py:init():480] communicating current version
2021-11-11 16:00:53,305 INFO    MainThread:51918 [wandb_init.py:init():485] got version response upgrade_message: "wandb version 0.12.6 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2021-11-11 16:00:53,305 INFO    MainThread:51918 [wandb_init.py:init():493] communicating run to backend with 30 second timeout
2021-11-11 16:00:53,444 INFO    MainThread:51918 [wandb_init.py:init():518] starting run threads in backend
2021-11-11 16:00:53,478 INFO    MainThread:51918 [wandb_run.py:_console_start():1476] atexit reg
2021-11-11 16:00:53,479 INFO    MainThread:51918 [wandb_run.py:_redirect():1339] redirect: SettingsConsole.REDIRECT
2021-11-11 16:00:53,479 INFO    MainThread:51918 [wandb_run.py:_redirect():1344] Redirecting console.
2021-11-11 16:00:53,479 INFO    MainThread:51918 [redirect.py:install():213] install start
2021-11-11 16:00:53,480 INFO    MainThread:51918 [redirect.py:install():228] install stop
2021-11-11 16:00:53,480 INFO    MainThread:51918 [redirect.py:install():213] install start
2021-11-11 16:00:53,480 INFO    MainThread:51918 [redirect.py:install():228] install stop
2021-11-11 16:00:53,480 INFO    MainThread:51918 [wandb_run.py:_redirect():1390] Redirects installed.
2021-11-11 16:00:53,480 INFO    MainThread:51918 [wandb_init.py:init():542] run started, returning control to user process
2021-11-11 16:00:54,650 INFO    MainThread:51918 [wandb_run.py:finish():1135] finishing run adsmaniotto/exercise_14/2k4yn94o
